Abric	Vestuari i altres peces de vestit
Acroteri	Arquitectura
Agulla de barret	Vestuari i altres peces de vestit
Aiguafort	Gravats i Esgrafiats
Àlbum	Arts Gràfiques
Alicatat	Ceràmica i Mosaic
Altar	Mobiliari i Fusteria decorativa
anell	Orfebreria i joieria
Aplic	Estris i Metallisteria
Apunt (resum)	Pintura i Dibuix
aquarel·la	Pintura i Dibuix
Arcada	Arquitectura
Armari	Mobiliari i Fusteria decorativa
Arquimesa	Mobiliari i Fusteria decorativa
Arrambador	Ceràmica i Mosaic
Art decoratiu	Arts aplicades
Arts aplicades	Arts aplicades
arxiu	Arquitectura
associació	Arquitectura
Atuell	Ceràmica i Mosaic
Bací	Ceràmica i Mosaic
Bàcul pastoral	Estris i Metallisteria
Balança	Estris i Metallisteria
Baldaquí	Mobiliari i Fusteria decorativa
balneari	Arquitectura
Balustre	Mobiliari i Fusteria decorativa
banc	Mobiliari i Fusteria decorativa
bandera	Vestuari i altres peces de vestit
bar	Mobiliari i Fusteria decorativa
Barana	Mobiliari i Fusteria decorativa
barret	Vestuari i altres peces de vestit
barri	Arquitectura
base	Arquitectura
bastó	Estris i Metallisteria
bé cultural	Arquitectura
beina	Estris i Metallisteria
biblioteca	Mobiliari i Fusteria decorativa
Bicicle	Arts aplicades
Bomba	Arts aplicades
botella	Estris i Metallisteria
Botiga	Arquitectura
braçalet	Orfebreria i joieria
brodat	Arts aplicades
Brusa	Vestuari i altres peces de vestit
Bufet	Mobiliari i Fusteria decorativa
Buirac de sastre	Arts aplicades
Bust	Escultura i Medalles
butaca	Mobiliari i Fusteria decorativa
cadira	Mobiliari i Fusteria decorativa
cafeteria	Arquitectura
Caixa (contenidor)	Estris i Metallisteria
caixa d'estalvis	Arquitectura
Caixa registradora	Mobiliari i Fusteria decorativa
Calaixera	Mobiliari i Fusteria decorativa
Calcografia	Arts Gràfiques
cambril	Arquitectura
Càmera fotogràfica	Arts aplicades
Campanar	Arquitectura
Canelobre	Estris i Metallisteria
canonada	Arts aplicades
Capa	Vestuari i altres peces de vestit
Capella	Arquitectura
capitell	Escultura i Medalles
carrer	Arquitectura
Carreu	Arquitectura
carta	Arts Gràfiques
Cartell	Arts Gràfiques
Cartolina	Arts Gràfiques
casa	Arquitectura
Casaca	Vestuari i altres peces de vestit
casa consistorial	Arquitectura
Casa museu	Arquitectura
Casa natal	Arquitectura
Cassola	Estris i Metallisteria
castell	Arquitectura
catàleg	Arts Gràfiques
celler	Arquitectura
Celler	Arquitectura
cementiri	Arquitectura
Cendrer	Estris i Metallisteria
Centre de taula	Estris i Metallisteria
centre educatiu	Arquitectura
Ceràmica	Ceràmica i Mosaic
cerveseria	Arquitectura
Château	Arquitectura
Cigarrer	Orfebreria i joieria
cinta	Vestuari i altres peces de vestit
cinturó	Vestuari i altres peces de vestit
cistell	Arts aplicades
Cobrellit	Vestuari i altres peces de vestit
cofre	Estris i Metallisteria
coixí	Vestuari i altres peces de vestit
Collage	Pintura i Dibuix
